Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10
5.80063191	1.99851	1.97072	1.97001	1.97	1.97	1.97	1.9701	1.9699	1.97	1.96998	1.95083
5.819353523	1.99885	1.97074	1.97001	1.97	1.97	1.97	1.9701	1.9699	1.97	1.96998	1.95079
5.840715851	1.99923	1.97076	1.97001	1.97	1.97	1.97	1.9701	1.96989	1.97	1.96998	1.95073
5.859250734	1.99957	1.97077	1.97001	1.97	1.97	1.97	1.97011	1.96989	1.97	1.96998	1.95069
5.880102477	1.99994	1.97079	1.97001	1.97	1.97	1.97	1.97011	1.96989	1.97	1.96998	1.95064
5.900889058	2.00032	1.97081	1.97001	1.97	1.97	1.97001	1.97012	1.96988	1.97	1.96999	1.95059
5.921219508	2.00068	1.97083	1.97001	1.97	1.97	1.97001	1.97012	1.96988	1.97	1.96999	1.95054
5.939008651	2.001	1.97085	1.97001	1.97	1.97	1.97001	1.97013	1.96988	1.97	1.96999	1.95049
5.959339101	2.00136	1.97087	1.97002	1.97	1.97	1.97001	1.97013	1.96987	1.97	1.96999	1.95044
5.97966955	2.00172	1.97089	1.97002	1.97	1.97	1.97001	1.97014	1.96987	1.97	1.96999	1.95039
6	2.00207	1.97091	1.97002	1.97	1.97	1.97001	1.97014	1.96987	1.97	1.96999	1.95034
6.019887741	2.00242	1.97093	1.97002	1.97	1.97	1.97001	1.97015	1.96986	1.97	1.96999	1.95029
6.039686184	2.00276	1.97095	1.97002	1.97	1.97	1.97001	1.97016	1.96986	1.97	1.96999	1.95024
6.059430534	2.0031	1.97097	1.97002	1.97	1.97	1.97001	1.97016	1.96986	1.97	1.96999	1.95018
6.079120789	2.00344	1.97099	1.97002	1.97	1.97	1.97001	1.97017	1.96985	1.97	1.96999	1.95013
6.098811045	2.00377	1.97101	1.97002	1.97	1.97	1.97001	1.97017	1.96985	1.97	1.96999	1.95008
6.120931228	2.00414	1.97104	1.97002	1.97	1.97	1.97001	1.97018	1.96985	1.97	1.96999	1.95002
6.140496068	2.00447	1.97106	1.97002	1.97	1.97	1.97001	1.97019	1.96984	1.97	1.96999	1.94997
6.160162808	2.00479	1.97108	1.97002	1.97	1.97	1.97001	1.9702	1.96984	1.97	1.96999	1.94991
6.179863515	2.00511	1.97111	1.97002	1.97	1.97	1.97001	1.9702	1.96984	1.97	1.96999	1.94986
6.199564222	2.00542	1.97113	1.97002	1.97	1.97	1.97001	1.97021	1.96983	1.97	1.96999	1.9498
6.219369276	2.00573	1.97116	1.97002	1.97	1.97	1.97001	1.97022	1.96983	1.97	1.96999	1.94975
6.239236937	2.00604	1.97118	1.97002	1.97	1.97	1.97001	1.97022	1.96983	1.97	1.96999	1.94969
6.259155282	2.00635	1.97121	1.97002	1.97	1.97	1.97001	1.97023	1.96982	1.97	1.96999	1.94963
6.279225675	2.00665	1.97123	1.97002	1.97	1.97	1.97001	1.97024	1.96982	1.97	1.96999	1.94958
6.299296068	2.00694	1.97126	1.97002	1.97	1.97	1.97001	1.97024	1.96982	1.97	1.96999	1.94952
6.31959161	2.00724	1.97129	1.97003	1.97	1.97	1.97001	1.97025	1.96981	1.97	1.97	1.94946
6.339919316	2.00753	1.97131	1.97003	1.97	1.97	1.97001	1.97026	1.96981	1.97	1.97	1.9494
6.360462358	2.00781	1.97134	1.97003	1.97	1.97	1.97001	1.97026	1.96981	1.97	1.97	1.94934
6.381134601	2.00809	1.97137	1.97003	1.97	1.97	1.97001	1.97027	1.9698	1.97	1.97	1.94928
6.399159789	2.00833	1.9714	1.97003	1.97	1.97	1.97001	1.97027	1.9698	1.97	1.97	1.94922
6.419327831	2.00859	1.97143	1.97003	1.97	1.97	1.97001	1.97028	1.9698	1.97	1.97	1.94916
6.439495873	2.00884	1.97146	1.97003	1.97	1.97	1.97001	1.97028	1.96979	1.97	1.97	1.9491
6.459663916	2.00909	1.97149	1.97003	1.97	1.97	1.97001	1.97029	1.96979	1.97	1.97	1.94904
6.479831958	2.00932	1.97152	1.97003	1.97	1.97	1.97001	1.9703	1.96979	1.97	1.97	1.94899
6.5	2.00955	1.97155	1.97003	1.97	1.97	1.97001	1.9703	1.96978	1.97	1.97	1.94893
6.519559067	2.00977	1.97158	1.97003	1.97	1.97	1.97001	1.97031	1.96978	1.97	1.97	1.94887
6.539019075	2.00997	1.97161	1.97003	1.97	1.97	1.97001	1.97031	1.96978	1.97	1.97	1.94881
6.560790141	2.01019	1.97165	1.97003	1.97	1.97	1.97001	1.97031	1.96977	1.97	1.97001	1.94875
6.580055397	2.01038	1.97168	1.97004	1.97	1.97	1.97001	1.97032	1.96977	1.97	1.97001	1.9487
6.599252864	2.01055	1.97171	1.97004	1.97	1.97	1.97001	1.97032	1.96977	1.97	1.97001	1.94864
6.620748824	2.01074	1.97175	1.97004	1.97	1.97	1.97001	1.97033	1.96977	1.97	1.97001	1.94858
6.639830644	2.0109	1.97178	1.97004	1.97	1.97	1.97001	1.97033	1.96976	1.97	1.97001	1.94853
6.661138027	2.01106	1.97182	1.97004	1.97	1.97	1.97001	1.97033	1.96976	1.97	1.97001	1.94847
6.679864957	2.0112	1.97185	1.97004	1.97	1.97	1.97001	1.97033	1.96976	1.97	1.97001	1.94842
6.70070818	2.01133	1.97189	1.97004	1.97	1.97	1.97	1.97034	1.96976	1.97	1.97001	1.94837
6.719107572	2.01145	1.97192	1.97004	1.97	1.97	1.97	1.97034	1.96976	1.97	1.97002	1.94832
6.739660676	2.01156	1.97196	1.97004	1.97	1.97	1.97	1.97034	1.96975	1.97	1.97002	1.94827
6.760091441	2.01166	1.972	1.97005	1.97	1.97	1.97	1.97034	1.96975	1.97	1.97002	1.94822
6.780461036	2.01175	1.97204	1.97005	1.97	1.97	1.97	1.97034	1.96975	1.97	1.97002	1.94817
6.80083063	2.01183	1.97208	1.97005	1.97	1.97	1.97	1.97034	1.96975	1.97	1.97002	1.94813
6.818936937	2.01188	1.97212	1.97005	1.97	1.97	1.97	1.97035	1.96975	1.97	1.97002	1.94808
