Hs	Hs_L0	WL
0.5212162506721679	0.0016112701639665688	-0.2803777218881187
0.5569606272957631	0.0015343304397092052	-0.2601025108462949
0.550963859596348	0.001569697605687601	-0.2773045773887368
0.5364399976406529	0.0016849717874610252	-0.31851190544784913
0.6136412494694967	0.0019274628989747013	-0.3757403221452904
0.5936976342986056	0.0018945372632957831	-0.42721430567642216
0.640444951634735	0.002108587456503962	-0.4555979918851776
0.5678733747680377	0.0020780678101673046	-0.4328674325314523
0.5073330230880299	0.0015433587691915057	-0.35768452781613647
0.5617316210598119	0.0017644134251237683	-0.26297336071391086
0.5685695355459558	0.0019898358883888123	-0.15778222477258552
0.6271030633116599	0.002194687022578338	-0.06501326205123448
0.5732883827151888	0.0018874825848297439	0.0031006473411672175
0.6182015746846728	0.0020670320141205623	0.027143492500353972
0.6037650717566984	0.002081355375571524	0.010960323526941096
0.6490726705424169	0.00203875390106272	-0.05601169573369802
0.6266573628510752	0.0020953049683806527	-0.13521815582802432
0.6514780727919457	0.0021782960252817113	-0.24264015653945137
0.574807085895369	0.0020116655868952166	-0.35600960549092875
0.5686778623502662	0.0019014434697925565	-0.4351292100990598
0.6787303022670687	0.002304465558168163	-0.47744184541405943
0.6060737178130935	0.0022505930693324534	-0.4744592789384825
0.5516113290812106	0.0018443794439443769	-0.44507597071991967
0.5410488753190672	0.00195089738696779	-0.38183677200595056
0.5077394843295578	0.001885438901033055	-0.30667424684783384
0.5038240912932284	0.0017106135704896904	-0.25745749771014914
0.47748489787282017	0.0018515954412605402	-0.23732311206802237
0.49843511726299344	0.0019605469623111688	-0.2457315245644338
0.45287462171559356	0.0017561614802203294	-0.27548147799020484
0.4115241621111151	0.0013548934753266594	-0.3174988190560839
0.5078313176123492	0.0019692730739953395	-0.36378014892005694
0.47733345783679654	0.0017211542950846027	-0.3857331762019669
0.429992211195121	0.0016674278528459106	-0.3574408750004032
0.44429937787560136	0.0017476091982321998	-0.30418717766323766
0.4085726071681027	0.0015843667102909962	-0.22927800580876934
0.3948008267184339	0.0013609943029324928	-0.14985921166714178
0.39978750567408167	0.00164015386943213	-0.07534097393002526
0.40525256549832633	0.0016167127118368652	-0.02222972105810328
0.4194734357303008	0.001744901271412942	-0.0028879490514412964
0.4441307226667361	0.0017718130523607283	-0.02151412778854933
0.3964830696861195	0.001860357803235994	-0.07911521296186308
0.4041454950025601	0.0015671992129728902	-0.18780055596797496
0.3704738149544273	0.0015198925741720095	-0.30387626026494985
0.4178894404170881	0.0014845724105985343	-0.4116631712619814
0.39400356970225275	0.0014630921572771412	-0.4718612279861283
0.39932522295348943	0.002447273287869438	-0.48903106381591144
0.41625962947759093	0.0018530076098539482	-0.48055415510541266
0.45107692973772157	0.0019813150754010678	-0.4261943165398563
0.4155330509050983	0.001899429330506369	-0.3336865536255402
0.4131081880917834	0.0009710625163656376	-0.2603489587104484
